MEP	id
ALCAM|1_ANGPT1|1	1399228
ALCAM|1_ANGPT2|1	1404926
ALCAM|1_AREG	1482923
ALCAM|1_BMP2	1397173
ALCAM|1_BMP3	1420662
ALCAM|1_BMP4	1421339
ALCAM|1_BMP5|1	1473839
ALCAM|1_BMP6	1408373
ALCAM|1_BMP7	1434539
ALCAM|1_CSF2	1423132
ALCAM|1_CTGF|1	1413396
ALCAM|1_CXCL1	1461107
ALCAM|1_CXCL12|Alpha	1427815
ALCAM|1_CXCL12|Beta	1438078
ALCAM|1_CXCL8|1	1406235
ALCAM|1_DLL1|1	1424586
ALCAM|1_DLL4	1411135
ALCAM|1_EGF|1	1396194
ALCAM|1_FASLG|1	1440415
ALCAM|1_FBS	1436969
ALCAM|1_FGF2|3	1464366
ALCAM|1_FGF6	1415297
ALCAM|1_FLT3LG|1	1409773
ALCAM|1_GPNMB|1	1477939
ALCAM|1_HGF|1	1411828
ALCAM|1_IGF1|1	1406935
ALCAM|1_IGFBP2	1439128
ALCAM|1_IGFBP3|1	1430073
ALCAM|1_IL13	1400339
ALCAM|1_IL15|IL15S48AA	1428332
ALCAM|1_IL1B	1405524
ALCAM|1_IL6	1436094
ALCAM|1_IL7|1	1416126
ALCAM|1_JAG1|1	1433232
ALCAM|1_JAG2|Long	1404296
ALCAM|1_KITLG|1	1399632
ALCAM|1_KNG1|HMW	1426566
ALCAM|1_LEP	1418873
ALCAM|1_LYVE1	1401794
ALCAM|1_NRG1|1	1475869
ALCAM|1_NRG1|10	1438636
ALCAM|1_NRG1|6	1401335
ALCAM|1_PDGFAB	1432075
ALCAM|1_PDGFB|1	1417435
ALCAM|1_PTN	1419469
ALCAM|1_SHH	1439835
ALCAM|1_TGFB1||Cterminus	1398294
ALCAM|1_TGFB1||LAP	1467407
ALCAM|1_TGFB2|A	1434639
ALCAM|1_THPO|1	1402896
ALCAM|1_TNF	1429335
ALCAM|1_TNFRSF11B	1407673
ALCAM|1_TNFSF11|1	1422205
ALCAM|1_VEGFA|VEGF206	1435575
ALCAM|1_WNT10A	1418232
ALCAM|1_WNT3A|1	1481173
ALCAM|1_Wnt5a|1	1412632
BCAN|1_ANGPT1|1	1399189
BCAN|1_ANGPT2|1	1405095
BCAN|1_AREG	1432789
BCAN|1_BMP2	1542407
BCAN|1_BMP3	1421012
BCAN|1_BMP4	1421399
BCAN|1_BMP5|1	1474499
BCAN|1_BMP6	1408412
BCAN|1_BMP7	1433911
BCAN|1_CSF2	1473790
BCAN|1_CTGF|1	1413307
BCAN|1_CXCL1	1410790
BCAN|1_CXCL12|Alpha	1427699
BCAN|1_CXCL12|Beta	1437812
BCAN|1_CXCL8|1	1456399
BCAN|1_DLL1|1	1424190
BCAN|1_DLL4	1411289
BCAN|1_EGF|1	1396215
BCAN|1_FASLG|1	1440211
BCAN|1_FBS	1454017
BCAN|1_FGF2|3	1414012
BCAN|1_FGF6	1415106
BCAN|1_FLT3LG|1	1460212
BCAN|1_GPNMB|1	1427495
BCAN|1_HGF|1	1412095
BCAN|1_IGF1|1	1406894
BCAN|1_IGFBP2	1439499
BCAN|1_IGFBP3|1	1480111
BCAN|1_IL13	1400484
BCAN|1_IL15|IL15S48AA	1428770
BCAN|1_IL1B	1405211
BCAN|1_IL6	1436602
BCAN|1_IL7|1	1415790
BCAN|1_JAG1|1	1433494
BCAN|1_JAG2|Long	1454802
BCAN|1_KITLG|1	1400290
BCAN|1_KNG1|HMW	1426802
BCAN|1_LEP	1418685
BCAN|1_LYVE1	1452790
BCAN|1_NRG1|1	1425012
BCAN|1_NRG1|10	1490889
BCAN|1_NRG1|6	1401595
BCAN|1_PDGFAB	1431890
BCAN|1_PDGFB|1	1417790
BCAN|1_PTN	1419431
BCAN|1_SHH	1440016
BCAN|1_TGFB1||Cterminus	1398412
BCAN|1_TGFB1||LAP	1467490
BCAN|1_TGFB2|A	1435211
BCAN|1_THPO|1	1402506
BCAN|1_TNF	1429090
BCAN|1_TNFRSF11B	1407390
BCAN|1_TNFSF11|1	1422611
BCAN|1_VEGFA|VEGF206	1435531
BCAN|1_WNT10A	1418411
BCAN|1_WNT3A|1	1430612
BCAN|1_Wnt5a|1	1412384
BGN_ANGPT1|1	1398992
BGN_ANGPT2|1	1404991
BGN_AREG	1432991
BGN_BMP2	1396819
BGN_BMP3	1420619
BGN_BMP4	1421992
