MEP	id
ALCAM|1_ANGPT1|1	1034488
ALCAM|1_ANGPT2|1	1040264
ALCAM|1_AREG	1133274
ALCAM|1_BMP2	1032648
ALCAM|1_BMP3	1059629
ALCAM|1_BMP4	1060053
ALCAM|1_BMP5|1	1062357
ALCAM|1_BMP6	1108434
ALCAM|1_BMP7	1134674
ALCAM|1_CSF2	1123163
ALCAM|1_CTGF|1	1051548
ALCAM|1_CXCL1	1110440
ALCAM|1_CXCL12|Alpha	1290264
ALCAM|1_CXCL12|Beta	1137806
ALCAM|1_CXCL8|1	1041472
ALCAM|1_DLL1|1	1287037
ALCAM|1_DLL4	1285088
ALCAM|1_EGF|1	1032137
ALCAM|1_FASLG|1	1140670
ALCAM|1_FBS	1277429
ALCAM|1_FGF2|3	1114223
ALCAM|1_FGF6	1054029
ALCAM|1_FLT3LG|1	1109630
ALCAM|1_GPNMB|1	1065281
ALCAM|1_HGF|1	1111840
ALCAM|1_IGF1|1	1280573
ALCAM|1_IGFBP2	1139456
ALCAM|1_IGFBP3|1	1068144
ALCAM|1_IL13	1036253
ALCAM|1_IL15|IL15S48AA	1066984
ALCAM|1_IL1B	1041181
ALCAM|1_IL6	1136427
ALCAM|1_IL7|1	1054384
ALCAM|1_JAG1|1	1071588
ALCAM|1_JAG2|Long	1040020
ALCAM|1_KITLG|1	1035172
ALCAM|1_KNG1|HMW	1126999
ALCAM|1_LEP	1057228
ALCAM|1_LYVE1	1102506
ALCAM|1_NRG1|1	1125206
ALCAM|1_NRG1|10	1138874
ALCAM|1_NRG1|6	1037157
ALCAM|1_PDGFAB	1132117
ALCAM|1_PDGFB|1	1055472
ALCAM|1_PTN	1058047
ALCAM|1_SHH	1139667
ALCAM|1_TGFB1||Cterminus	1034413
ALCAM|1_TGFB1||LAP	1054788
ALCAM|1_TGFB2|A	1135070
ALCAM|1_THPO|1	1102630
ALCAM|1_TNF	1067480
ALCAM|1_TNFRSF11B	1107734
ALCAM|1_TNFSF11|1	1060760
ALCAM|1_VEGFA|VEGF206	1136115
ALCAM|1_WNT10A	1056354
ALCAM|1_WNT3A|1	1130827
ALCAM|1_Wnt5a|1	1285881
BCAN|1_ANGPT1|1	1034966
BCAN|1_ANGPT2|1	1040339
BCAN|1_AREG	1133231
BCAN|1_BMP2	1033040
BCAN|1_BMP3	1059056
BCAN|1_BMP4	1060349
BCAN|1_BMP5|1	1062449
BCAN|1_BMP6	1108548
BCAN|1_BMP7	1134325
BCAN|1_CSF2	1123526
BCAN|1_CTGF|1	1051861
BCAN|1_CXCL1	1046261
BCAN|1_CXCL12|Alpha	1128331
BCAN|1_CXCL12|Beta	1137948
BCAN|1_CXCL8|1	1041540
BCAN|1_DLL1|1	1062461
BCAN|1_DLL4	1111522
BCAN|1_EGF|1	1031652
BCAN|1_FASLG|1	1141035
BCAN|1_FBS	1033262
BCAN|1_FGF2|3	1052135
BCAN|1_FGF6	1053952
BCAN|1_FLT3LG|1	1045362
BCAN|1_GPNMB|1	1065836
BCAN|1_HGF|1	1047140
BCAN|1_IGF1|1	1042736
BCAN|1_IGFBP2	1138947
BCAN|1_IGFBP3|1	1068061
BCAN|1_IL13	1035949
BCAN|1_IL15|IL15S48AA	1291039
