	ALCAM|1	BCAN|1	BGN	CD44|1	CDH15	CDH1|1	CDH20	CDH3|1	CDH6|1	CDH8	CEACAM6	COL1	COL23A1|1	COL2A1|2	COL3A1|1	COL4	COL5A1	DCN|A	DSG2	ECM1|1	ELN|3	FBN1	FN1|1	GAP43|1	HA<500kDa	HA>500kDa	ICAM1	ITGA10B1	ITGA2B1	ITGA3B1	ITGA4B1	ITGA6B4	ITGA9B1	ITGAMB2	ITGAVB6	LAMB1	LUM	Laminin3B32	NID1|1	OMD	PECAM1|Long	POSTN|1	SPARC	SPP1|A	THBS1|1	TNC|1	VCAM1|1	VTN
ANGPT1|1	-0.31189003257181486	-0.19429228280744909	0.11066459370014815	-0.58296281168968023	-0.38563777394947046	-0.226183197997786	-0.28398548178027139	-0.5211741635084014	-0.12652408802798185	0.052862309917662748	-0.30391730377423154	-0.19229910060805061	-0.29594457497664817	-0.37367868075309368	-0.3617195875567169	0.11265777589954311	-0.0069331560642176071	-0.26604684198570622	-0.024871795858782776	-0.28199229958087291	-0.89389923479546241	-0.002946791665427708	-0.048789982251536336	-0.29793775717604315	-0.40158323154463715	-0.50323552371383629	-0.51519461691021307	-0.80619921802203498	-0.43347414673497403	-0.27202638858389461	-0.24412183779234761	-0.77231512063230312	-0.21422410480140922	-0.36371276975611189	-0.29793775717604315	-0.52316734570779633	0.0090123015309490715	-0.36570595195551037	-3.1123110227232718	-0.35374685875913359	-0.74241738764136123	-0.34776731216094164	-0.44941960433014072	-0.4314809645355791	-0.24810820219114105	-0.55705144309752819	-0.6706628284631041	-0.3716854985536952
ANGPT2|1	0.63487151214131021	0.33589418223190137	0.40166919481197011	0.41960783460653883	0.51727376237694445	0.66476924513225222	0.33390100003250645	0.31396917803854629	0.2043441570717639	0.17444642408082195	0.35781918642526001	0.4674442073920424	0.58902832155520157	0.62091923674553851	0.50930103357936118	0.61892605454614358	0.63088514774251681	0.54119194876969445	0.81226472788755988	0.34984645762767663	-2.1595699314119581	0.83618291428031344	0.51328739797815104	0.63885787654010373	0.23025552566391241	0.33589418223190137	0.26613280525304273	0.21829643246753563	0.38173737281801001	0.18241915287840529	0.33190781783311146	0.03891003452189102	0.53521240217150967	0.18839869947659368	0.30998281363975644	0.30001690264277459	0.64882378753708547	0.39768283041318025	-1.196862929103663	0.58703513935580665	0.62689878334372695	0.20633733927115885	0.49335557598419094	0.21032370366995229	0.55913058856426323	0.58105559275761831	0.33988054663069484	0.25616689425606093
AREG	-0.22219683359899256	0.11265777589954311	0.14454869108988	0.18441233507780377	-0.12253772362918842	-0.11855135923039498	0.0050259371321591719	0.03891003452189102	0.10468504710195976	0.15850096648565526	0.16846687748263356	0.25218052985726747	0.22427597906572402	0.41761465240714035	0.34187372883008976	0.26015325865485434	0.34386691102948824	0.12262368689652493	0.092725953905582983	0.19437824607478207	-0.41154914254161901	0.43356011000231059	0.18241915287840529	0.22626916126511898	-0.046796800052141388	0.13856914449169516	0.094719136104981477	0.14255550889048504	-0.23216274459597083	-0.11855135923039498	0.20035779267297046	-0.020885431459989338	0.066814585313434482	0.0090123015309490715	-0.00095360946602921761	-0.050783164450931284	0.66277606293285374	-0.20425819380442739	-1.2526720306867534	0.070800949712227917	-0.086660444040061624	-0.11057863043281164	-0.27800593518207944	-0.1026059016352283	0.048875945518872851	0.2043441570717639	-0.060749075447913116	-0.27601275298268807
BMP2	0.51727376237694445	0.50531466918056767	0.38971010161559688	0.26613280525304273	0.66277606293285374	0.56112377076365461	0.56311695296305309	0.4674442073920424	0.40366237701136864	0.59301468595399509	0.45947147859445908	0.40166919481197011	0.2840714450476044	0.47940330058841918	0.62689878334372695	0.90594429125917564	0.50132830478177426	0.64882378753708547	0.44153283879989391	0.53321921997211119	-1.4639493438227331	0.7305442577123209	0.65679651633466885	0.3777510084192201	0.33988054663069484	0.26015325865485434	0.45947147859445908	0.51528058017754952	0.56311695296305309	0.49335557598419094	0.55713740636486475	0.57507604615942987	0.31596236023794128	0.68071470272741885	0.2840714450476044	0.67473515612923052	0.85810791847366852	0.35383282202646654	-2.2831472277745122	0.74449653310809272	0.49534875818358587	0.52325330897513289	0.50132830478177426	0.59899423255218343	0.4275805634041222	0.75446244410507446	-0.048789982251536336	0.48936921158540103
BMP3	0.21032370366995229	0.050869127718267799	0.23025552566391241	-0.24212865559295266	0.28805780944639781	-0.088653626239456565	0.26613280525304273	0.14454869108988	0.17046005968203204	0.23224870786330737	-0.32982867236638003	0.23224870786330737	0.14255550889048504	-0.1564218210189238	0.60497377915037187	0.61892605454614358	0.21630325026814068	-0.12253772362918842	-0.024871795858782776	0.16248733088444517	-0.41553550694040886	0.17245324188142699	0.31197599583914781	0.12262368689652493	0.22028961466693411	-0.12652408802798185	-0.17236727861409049	0.14454869108988	0.02894412352491273	0.092725953905582983	0.19836461047357551	-0.062742257647308064	0.23224870786330737	-0.084667261840666669	0.15252141988746334	0.080766860709209742	0.34586009322888323	0.14654187328927848	-0.17037409641469553	-0.32584230796758656	0.072794131911622872	-0.098619537236434865	0.23224870786330737	0.014991848129137461	0.062828220914641034	0.5073078513799627	0.24022143666089424	0.15850096648565526
BMP4	0.35582600422586502	0.42359419900532874	0.71459880011715426	0.79831245249178817	0.66875560953104563	0.76642153730145124	0.79233290589359984	0.85013518967608515	1.0215488588241464	0.67074879173044055	0.97969203263682769	0.5671033173618466	0.7305442577123209	0.96374657504166106	0.82422382108393666	1.1650579771806606	0.82422382108393666	0.91391702005675901	0.86807382947065037	0.78236699489661798	-0.64873782426974902	1.2348193541595229	1.0853306892048202	0.69267379592379563	0.58703513935580665	0.7564556263044695	0.21630325026814068	0.61693287234674865	0.49335557598419094	0.43953965660049898	0.94182157084830243	0.4475123853980823	1.0414806808181065	0.92786929545253072	0.63686469434070869	0.81824427448574832	1.1690443415794542	0.45548511419566562	-1.8187357753152325	0.71659198231654919	0.78834654149480987	0.77638744829843309	0.57706922835882479	0.70263970692077748	0.75246926190567953	0.76442835510205631	0.6069669613497668	0.60497377915037187
BMP5|1	1.0355011342199183	0.93783520644951257	0.95776702844347261	0.79831245249178817	0.68270788492681733	0.63686469434070869	0.87405337606883871	0.91591020225615394	1.017562494425353	0.98567157923501614	0.83817609647970837	1.2148875321655628	0.72456471111413256	0.97969203263682769	0.78037381269722306	1.3025875489389902	1.0833375070054219	0.70263970692077748	0.90195792686038223	0.96972612163984595	-2.5223290917020389	1.334478464129327	1.1491125195854905	0.81226472788755988	0.87206019386944023	0.65480333413527037	0.57906241055822338	0.92786929545253072	0.48737602938600255	0.91192383785736053	0.8102715456881614	0.52524649117452782	0.75446244410507446	0.95178748184528428	0.59500786815339002	0.75446244410507446	1.0952966002017985	0.72655789331353104	-0.65671055306733239	0.9398283886489075	0.77240108389963968	0.6906806137244007	0.83418973208091496	0.48538284718660757	0.8102715456881614	0.83618291428031344	0.39369646601438679	0.76841471950084628
BMP6	1.0414806808181065	0.40764874141016205	1.0016170368301864	1.1790102525764325	0.89597838026219379	1.2627239049510699	0.4674442073920424	1.3105602777365735	0.77439426609903461	0.42558738120472367	0.8162510922863534	-0.028858160257572676	1.0693852316096499	0.68470106712621226	0.9497942996458858	1.6753126202260511	0.78834654149480987	1.0374943164193167	1.3424511929269103	0.69466697812319411	-3.5607770175873834	1.0235420410235414	1.2447852651565048	0.88401928706581701	1.3304920997305336	0.94182157084830243	0.8800329226670236	1.6832853490236344	1.3145466421353669	0.70263970692077748	0.72257152891473764	1.1212079687939471	1.3005943667395916	1.222860260963146	1.2168807143649614	1.1052625111987804	1.3743421081172473	1.017562494425353	-1.3323993186625955	1.8128421919843805	0.93584202425011409	0.72855107551292597	1.0434738630175016	1.3125534599359685	1.7968967343892104	1.7291285396097431	1.0972897824011971	0.82422382108393666
BMP7	0.3777510084192201	0.61892605454614358	0.41960783460653883	0.25018734765787254	0.32592827123492307	0.49734194038298435	0.55514422416546982	0.19238506387538712	0.40764874141016205	0.63088514774251681	0.14454869108988	0.81425791008695481	0.45548511419566562	0.59102150375459661	0.59301468595399509	0.8102715456881614	0.61693287234674865	0.48538284718660757	0.45548511419566562	0.84814200747669022	0.14056232669109009	0.84814200747669022	0.47342375399023079	0.11664414029833654	0.51926694457633948	0.22427597906572402	0.22028961466693411	0.43356011000231059	-0.058755893248514622	0.23224870786330737	0.35582600422586502	0.21829643246753563	0.72057834671533916	0.23822825446149573	0.35582600422586502	0.34785327542827815	1.0394874986187082	0.15850096648565526	-1.5257379920040119	0.94580793524709583	0.32792145343431806	0.23025552566391241	0.24221461886028919	0.52126012677573441	0.4475123853980823	0.61294650794795513	0.51727376237694445	0.48737602938600255
CSF2	0.3737646440204267	0.53122603777271626	0.3040032670415645	0.32592827123492307	0.0090123015309490715	0.42957374560351713	0.2342418900627023	0.052862309917662748	0.20833052147055733	0.22228279686632552	0.25816007645545586	0.27011916965183264	0.096712318304376418	0.44551920319868737	-0.070714986444891409	0.66875560953104563	0.32194190683612967	0.46345784299324899	-0.31189003257181486	0.12262368689652493	-0.86001513740573055	0.35183963982707162	0.65679651633466885	-0.038824071254554504	0.24420780105968412	0.12461686909591989	0.66476924513225222	-0.020885431459989338	-0.042810435653347946	0.34187372883008976	0.34785327542827815	-0.052776346650326232	0.001039572733365732	0.34984645762767663	0.35183963982707162	0.22028961466693411	0.51528058017754952	0.19836461047357551	-0.67464919286189751	0.59700105035278495	0.51328739797815104	0.2143100680687422	0.51528058017754952	0.14654187328927848	0.22626916126511898	0.24420780105968412	0.18839869947659368	0.29603053824398112
