MEP	ECMp	Ligand	Nuclear Area	Dapi Intensity	Spot Cell Count	DNA2N Proportion	KRT19 Intensity	KRT5 Intensity	Edu Intensity	Mitotracker Intensity	CellMask Intensity	Actin Intensity
ALCAM|1_ANGPT1|1	ALCAM|1	ANGPT1|1	-0.654760253807	0.627816723277	1.36290800847	0.264006963708	-0.901543493787	-0.642059409182	1.33866488816	-0.0352487999471	0.799983826709	1.16616476195
ALCAM|1_ANGPT2|1	ALCAM|1	ANGPT2|1	-0.402090956771	1.20367268003	0.150282850128	-0.642395183108	-0.913722020208	-0.649035303476	1.05833782193	1.02012276781	-1.2335745306	0.986260080278
ALCAM|1_AREG	ALCAM|1	AREG	-0.0714441261057	-1.51937498337	-0.175798363096	0.813526766774	0.229353509543	-0.462895850314	-0.104753095663	-0.631071974418	0.617626624104	0.158548095902
ALCAM|1_BMP2	ALCAM|1	BMP2	0.0168429255677	0.555948397095	-1.04228481135	1.98852274439	-0.829708554211	0.665959877604	-0.547423560356	0.972890183777	1.01147938778	-0.0982979580327
ALCAM|1_BMP3	ALCAM|1	BMP3	-0.0765024650335	-1.12710126343	-1.84374272569	-0.170093925217	0.156022475572	-0.0976537261066	-0.491215122078	-0.630965709804	0.364408258327	-0.322699488098
ALCAM|1_BMP4	ALCAM|1	BMP4	-0.630575672776	-0.90966906325	1.45346115098	0.273696180926	0.00781209405373	-1.01067318091	0.250430892336	-0.335362235496	0.745599911414	-0.526416723507
ALCAM|1_BMP5|1	ALCAM|1	BMP5|1	-0.0970064209012	-1.14908482412	0.71811228174	2.54742590307	0.210761602221	0.739500526116	0.456372869234	-0.168587542328	0.774459308368	-0.142158708241
ALCAM|1_BMP6	ALCAM|1	BMP6	-1.94934960033	1.28779204525	-0.660187279	0.11414789013	-0.482690564198	0.185120105314	-1.02338159983	1.43566730938	-0.824895870761	1.71786503414
ALCAM|1_BMP7	ALCAM|1	BMP7	-1.185562066	-1.09743049172	-0.123068661753	1.60102288727	0.0913032450501	-1.82154222101	-0.425526262464	-0.308218170156	0.903690943153	-0.0532200280868
ALCAM|1_CSF2	ALCAM|1	CSF2	-0.446535934444	-0.696929198287	-0.0863292137741	0.791221650232	2.68603529306	-3.89656131788	0.596948890942	-0.614038528613	0.308253805817	-0.421726990806
ALCAM|1_CTGF|1	ALCAM|1	CTGF|1	0.132295160456	0.50066774044	1.69286378939	0.16415301728	0.272338236689	0.625659526042	-0.785488917026	0.291232607385	0.822688519053	0.0882616390323
ALCAM|1_CXCL12|Alpha	ALCAM|1	CXCL12|Alpha	0.37009059312	0.0404552336426	3.64171461921	0.228142201892	0.423623156501	1.54807398706	-0.292148655111	-0.915266308464	-1.34045371878	-0.182816319161
ALCAM|1_CXCL12|Beta	ALCAM|1	CXCL12|Beta	-1.29889780249	-0.958322894563	0.0632381294948	-0.00665961107794	-0.885755150143	-0.149611681216	-0.649068626861	-0.582189833836	0.531857242553	-0.0406058219977
ALCAM|1_CXCL1	ALCAM|1	CXCL1	-0.405124141469	-1.24196921276	-0.667274062849	-0.321507005798	-0.246988748418	-0.185758406798	2.29528488966	1.05030135555	-1.00318397722	0.856534528218
ALCAM|1_CXCL8|1	ALCAM|1	CXCL8|1	0.766422779811	0.0976665232554	0.0400359295242	0.908296571601	-0.616379302765	0.130478477715	1.01396342707	-0.274743439895	-1.27122719927	0.197360957304
ALCAM|1_DLL1|1	ALCAM|1	DLL1|1	1.08612443817	1.20145414722	-0.176124022805	-0.472407791368	-0.0582241622574	-0.357759405405	-1.06752320593	-0.592013069668	-1.50085442655	-1.23600948914
ALCAM|1_DLL4	ALCAM|1	DLL4	-0.593823073189	0.921509460726	0.573143526525	-0.998357106535	2.82127961773	-0.112729639079	1.28353553989	1.28519944817	-1.22693723012	1.32407977431
ALCAM|1_EGF|1	ALCAM|1	EGF|1	0.865106136393	1.03452888274	-1.54237347508	-1.19517013271	-0.551121508199	0.522720492717	-0.440876930025	0.323102975257	0.573149065427	0.949833445851
ALCAM|1_FASLG|1	ALCAM|1	FASLG|1	-0.59115606123	-1.56077952794	-0.254847275243	0.404726480208	-0.795031509042	-0.504092621433	-0.141768461676	-0.787624922764	0.323768101569	-0.397659102967
ALCAM|1_FBS	ALCAM|1	FBS	0.108740534545	0.661687314028	-0.148767369551	-0.726198377287	-0.753454766063	-0.22273400492	-0.873403147887	-0.697826975248	0.69836677943	-0.635381282783
