MEP	ECMp	Ligand	Nuclear Area	Dapi Intensity	Spot Cell Count	DNA2N Proportion	KRT19 Intensity	KRT5 Intensity	Edu Intensity	Mitotracker Intensity	CellMask Intensity	Actin Intensity
ALCAM|1_ANGPT1|1	ALCAM|1	ANGPT1|1	0.785535890781	-1.12141862691	-0.633894048833	0.559293997495	0.563769852253	0.369494746144	0.110854699715	0.0322466301875	-0.111736749267	0.0123991243211
ALCAM|1_ANGPT2|1	ALCAM|1	ANGPT2|1	-0.509181247441	2.20216269074	-1.2325503477	0.674157049176	-0.563391914447	-0.0769108651449	0.726387922489	0.829680730541	0.742007640093	0.4093450973
ALCAM|1_AREG	ALCAM|1	AREG	0.358108628002	0.363035523425	-0.237274621675	-0.960131933163	-0.346353058215	-0.819455854535	-0.422271311388	-0.450174385934	-0.234493034102	-0.361228734379
ALCAM|1_BMP2	ALCAM|1	BMP2	0.421270936536	-0.748800885655	-0.882890277766	0.825054171106	1.2517472646	0.86658065104	1.51356563283	6.15733175936	7.74764905441	4.74848012565
ALCAM|1_BMP3	ALCAM|1	BMP3	-0.697984707746	-1.12359644048	-0.159324881358	-0.291527106816	-0.197034491664	-0.51215988694	-1.03659055283	-0.330274247523	0.035088880263	-0.156363321007
ALCAM|1_BMP4	ALCAM|1	BMP4	1.32179464481	0.0764334272722	-0.808566009795	0.670891009855	0.0670414211399	1.64189776559	1.88775713268	0.559824209811	0.618955888125	0.300879651713
ALCAM|1_BMP5|1	ALCAM|1	BMP5|1	0.472039354838	0.475355900005	-0.847127426703	0.763192522983	-0.346017126835	0.843531480688	0.809378352221	-0.0670972348277	0.219606072202	0.33586096645
ALCAM|1_BMP6	ALCAM|1	BMP6	-0.848260679024	-0.193417131887	0.189822666352	0.972884070815	-0.341899904814	0.367139576437	-0.281080288065	0.309625317753	0.148134445657	0.651534592837
ALCAM|1_BMP7	ALCAM|1	BMP7	-0.591776338269	0.154679800913	0.427695160838	0.115764127184	0.148078898112	-0.2027703588	-0.437706443301	-0.457562738943	-0.241243229042	-0.64111342067
ALCAM|1_CSF2	ALCAM|1	CSF2	0.775360785302	-0.681621233021	-0.946551686788	0.213971700403	-0.262486444102	1.33505052826	0.250401654794	-0.394066415808	0.00314945965296	-0.259371900432
ALCAM|1_CTGF|1	ALCAM|1	CTGF|1	-1.56588268906	-0.423494211931	-1.09112957886	1.05253021219	0.954076509378	0.827584347434	2.82156031243	-0.989035502078	-0.996364148889	-1.36962009092
