Feature	Loci	Source	Category	DisplayShort	DisplayUnique	Gradient
Cytoplasm_CP_AreaShape_MinFeretDiameterNorm	Cytoplasm	CP	AreaShape	Min Feret Diameter	Min Feret Diameter (Cytoplasm)	FALSE
Cytoplasm_CP_AreaShape_MinorAxisLengthNorm	Cytoplasm	CP	AreaShape	Minor Axis Length	Minor Axis Length (Cytoplasm)	FALSE
Cytoplasm_CP_AreaShape_PerimeterNorm	Cytoplasm	CP	AreaShape	Perimeter	Perimeter (Cytoplasm)	FALSE
Nuclei_CP_AreaShape_AreaNorm	Nuclei	CP	AreaShape	Nuclear Area	Area (Nuclei)	TRUE
Nuclei_CP_AreaShape_CompactnessNorm	Nuclei	CP	AreaShape	Compactness	Compactness (Nuclei)	FALSE
Nuclei_CP_AreaShape_ExtentNorm	Nuclei	CP	AreaShape	Extent	Extent (Nuclei)	FALSE
Nuclei_CP_AreaShape_MajorAxisLengthNorm	Nuclei	CP	AreaShape	Major Axis Length	Major Axis Length (Nuclei)	FALSE
Nuclei_CP_AreaShape_MaxFeretDiameterNorm	Nuclei	CP	AreaShape	Max Feret Diameter	Max Feret Diameter (Nuclei)	FALSE
Nuclei_CP_AreaShape_MaximumRadiusNorm	Nuclei	CP	AreaShape	Maximum Radius	Maximum Radius (Nuclei)	FALSE
Nuclei_CP_AreaShape_MeanRadiusNorm	Nuclei	CP	AreaShape	Mean Radius	Mean Radius (Nuclei)	FALSE
Nuclei_CP_AreaShape_MedianRadiusNorm	Nuclei	CP	AreaShape	Median Radius	Median Radius (Nuclei)	FALSE
Nuclei_CP_AreaShape_MinFeretDiameterNorm	Nuclei	CP	AreaShape	Min Feret Diameter	Min Feret Diameter (Nuclei)	FALSE
Nuclei_CP_AreaShape_MinorAxisLengthNorm	Nuclei	CP	AreaShape	Minor Axis Length	Minor Axis Length (Nuclei)	FALSE
Nuclei_CP_AreaShape_PerimeterNorm	Nuclei	CP	AreaShape	Nuclear Perimeter 	Perimeter (Nuclei)	FALSE
Cytoplasm_CP_Intensity_IntegratedIntensity_DapiNorm	Cytoplasm	CP	Intensity	Integrated Dapi Intensity	Integrated Dapi Intensity (Cytoplasm)	FALSE
Cytoplasm_CP_Intensity_MedianIntensity_DapiNorm	Cytoplasm	CP	Intensity	Median Dapi Intensity	Median Dapi Intensity (Cytoplasm)	FALSE
Nuclei_CP_Intensity_IntegratedIntensity_DapiNorm	Nuclei	CP	Intensity	Integrated Dapi Intensity	Integrated Dapi Intensity (Nuclei)	FALSE
Nuclei_CP_Intensity_MedianIntensity_DapiNorm	Nuclei	CP	Intensity	Dapi Intensity	Median Dapi Intensity (Nuclei)	TRUE
Spot_PA_SpotCellCountNorm	Spot	PA	Count	Spot Cell Count	Spot Cell Count (Spot)	TRUE
Nuclei_PA_Cycle_DNA2NProportionNorm	Nuclei	PA	Cycle	DNA2N Proportion	DNA2N Proportion (Nuclei)	TRUE
Nuclei_PA_Cycle_DNA4NProportionNorm	Nuclei	PA	Cycle	DNA4N Proportion	DNA4N Proportion (Nuclei)	FALSE
Nuclei_CP_AreaShape_EccentricityNorm	Nuclei	CP	AreaShape	Eccentricity	Eccentricity (Nuclei)	FALSE
Cells_CP_Intensity_IntegratedIntensity_KRT19Norm	Cells	CP	Intensity	Integrated KRT19 Intensity	Integrated KRT19 Intensity (Cells)	FALSE
Cells_CP_Intensity_IntegratedIntensity_KRT5Norm	Cells	CP	Intensity	Integrated KRT5 Intensity	Integrated KRT5 Intensity (Cells)	FALSE
Cells_CP_Intensity_MedianIntensity_KRT19Norm	Cells	CP	Intensity	Median KRT19 Intensity	Median KRT19 Intensity (Cells)	FALSE
