MEP	ECMp	Ligand	Spot Cell Count	2N DNA Proportion	EdU+ Proportion
ITGA4B1_BMP3	ITGA4B1	BMP3	8.676	1.5712	-2.4777
ITGA6B4_BMP3	ITGA6B4	BMP3	8.545	1.5801	-2.4777
ITGA9B1_BMP3	ITGA9B1	BMP3	8.693	1.5587	-2.3707
ITGAMB2_BMP3	ITGAMB2	BMP3	8.534	1.4104	-2.3916
ITGAVB6_BMP3	ITGAVB6	BMP3	8.653	1.5683	-2.4987
LAMB1_BMP3	LAMB1	BMP3	8.617	1.364	-2.4734
LUM_BMP3	LUM	BMP3	8.75	1.4032	-2.2929
Laminin3B32_BMP3	Laminin3B32	BMP3	8.65	1.3554	-2.374
NID1|1_BMP3	NID1|1	BMP3	8.491	1.6986	-1.9592
OMD_BMP3	OMD	BMP3	8.413	1.4981	-2.3611
PECAM1|Long_BMP3	PECAM1|Long	BMP3	8.613	1.4288	-2.4502
POSTN|1_BMP3	POSTN|1	BMP3	8.527	1.1908	-2.3555
SPARC_BMP3	SPARC	BMP3	8.693	1.5058	-2.2361
SPP1|A_BMP3	SPP1|A	BMP3	8.584	1.6341	-2.2446
THBS1|1_BMP3	THBS1|1	BMP3	8.608	1.8151	-2.648
TNC|1_BMP3	TNC|1	BMP3	8.831	1.6078	-2.5012
VCAM1|1_BMP3	VCAM1|1	BMP3	8.697	1.5324	-2.5935
VTN_BMP3	VTN	BMP3	8.656	1.5998	-2.2849
ALCAM|1_BMP4	ALCAM|1	BMP4	8.755	1.2681	-2.3162
BCAN|1_BMP4	BCAN|1	BMP4	8.789	1.327	-2.4518
BGN_BMP4	BGN	BMP4	8.935	1.4887	-2.4589
CD44|1_BMP4	CD44|1	BMP4	8.977	1.3627	-2.3544
CDH15_BMP4	CDH15	BMP4	8.912	1.4263	-2.4418
CDH1|1_BMP4	CDH1|1	BMP4	8.961	1.5009	-2.3758
CDH20_BMP4	CDH20	BMP4	8.974	1.4747	-2.5061
CDH3|1_BMP4	CDH3|1	BMP4	9.003	1.504	-2.5897
CDH6|1_BMP4	CDH6|1	BMP4	9.089	1.4813	-2.4322
CDH8_BMP4	CDH8	BMP4	8.913	1.4642	-2.5343
CEACAM6_BMP4	CEACAM6	BMP4	9.068	1.6374	-2.5756
COL1_BMP4	COL1	BMP4	8.861	1.2657	-2.5113
COL23A1|1_BMP4	COL23A1|1	BMP4	8.943	1.3117	-2.4053
COL2A1|2_BMP4	COL2A1|2	BMP4	9.06	1.5852	-2.5355
COL3A1|1_BMP4	COL3A1|1	BMP4	8.99	1.3897	-2.4309
COL4_BMP4	COL4	BMP4	9.161	1.5584	-2.5614
COL5A1_BMP4	COL5A1	BMP4	8.99	1.3766	-2.4948
DCN|A_BMP4	DCN|A	BMP4	9.035	1.4409	-2.4909
DSG2_BMP4	DSG2	BMP4	9.012	1.3954	-2.6059
ECM1|1_BMP4	ECM1|1	BMP4	8.969	1.2535	-2.4924
ELN|3_BMP4	ELN|3	BMP4	8.251	1.1863	-2.3942
FBN1_BMP4	FBN1	BMP4	9.196	1.3107	-2.5693
FN1|1_BMP4	FN1|1	BMP4	9.121	1.7487	-2.4604
GAP43|1_BMP4	GAP43|1	BMP4	8.924	1.5029	-2.6643
HA<500kDa_BMP4	HA<500kDa	BMP4	8.871	1.3601	-2.604
HA>500kDa_BMP4	HA>500kDa	BMP4	8.956	1.4587	-2.3651
ICAM1_BMP4	ICAM1	BMP4	8.685	1.6113	-2.3826
ITGA10B1_BMP4	ITGA10B1	BMP4	8.886	1.3156	-2.1338
ITGA2B1_BMP4	ITGA2B1	BMP4	8.824	1.4128	-2.2889
ITGA3B1_BMP4	ITGA3B1	BMP4	8.797	1.3274	-2.3961
ITGA4B1_BMP4	ITGA4B1	BMP4	9.049	1.5116	-2.276
ITGA6B4_BMP4	ITGA6B4	BMP4	8.801	1.6513	-2.3286
ITGA9B1_BMP4	ITGA9B1	BMP4	9.099	1.568	-2.4372
ITGAMB2_BMP4	ITGAMB2	BMP4	9.042	1.3458	-2.4636
ITGAVB6_BMP4	ITGAVB6	BMP4	8.896	1.3792	-2.3363
LAMB1_BMP4	LAMB1	BMP4	8.987	1.4358	-2.5153
LUM_BMP4	LUM	BMP4	9.163	1.5238	-2.4631
Laminin3B32_BMP4	Laminin3B32	BMP4	8.805	1.4381	-2.3974
NID1|1_BMP4	NID1|1	BMP4	7.664	1.3642	-0.9484
OMD_BMP4	OMD	BMP4	8.936	1.5693	-2.3493
PECAM1|Long_BMP4	PECAM1|Long	BMP4	8.972	1.3838	-2.4548
POSTN|1_BMP4	POSTN|1	BMP4	8.966	1.209	-2.2424
SPARC_BMP4	SPARC	BMP4	8.866	1.3406	-2.3681
SPP1|A_BMP4	SPP1|A	BMP4	8.929	1.567	-2.5092
THBS1|1_BMP4	THBS1|1	BMP4	8.954	1.6605	-2.7369
TNC|1_BMP4	TNC|1	BMP4	8.96	1.6519	-2.7034
VCAM1|1_BMP4	VCAM1|1	BMP4	8.881	1.3746	-2.4129
VTN_BMP4	VTN	BMP4	8.88	1.3247	-2.5088
ALCAM|1_BMP5|1	ALCAM|1	BMP5|1	9.096	2.063	-3.9143
BCAN|1_BMP5|1	BCAN|1	BMP5|1	9.047	1.9415	-3.6542
BGN_BMP5|1	BGN	BMP5|1	9.057	1.9158	-3.9098
CD44|1_BMP5|1	CD44|1	BMP5|1	8.977	2.0509	-3.6464
CDH15_BMP5|1	CDH15	BMP5|1	8.919	2.1108	-3.7731
CDH1|1_BMP5|1	CDH1|1	BMP5|1	8.896	2.1068	-3.6401
CDH20_BMP5|1	CDH20	BMP5|1	9.015	2.1515	-3.7867
CDH3|1_BMP5|1	CDH3|1	BMP5|1	9.036	2.1223	-3.6731
CDH6|1_BMP5|1	CDH6|1	BMP5|1	9.087	2.1035	-3.9847
CDH8_BMP5|1	CDH8	BMP5|1	9.071	1.9307	-3.8068
CEACAM6_BMP5|1	CEACAM6	BMP5|1	8.997	1.9462	-3.7197
COL1_BMP5|1	COL1	BMP5|1	9.186	1.8396	-3.8226
COL23A1|1_BMP5|1	COL23A1|1	BMP5|1	8.94	1.8375	-3.6728
COL2A1|2_BMP5|1	COL2A1|2	BMP5|1	9.068	1.7943	-3.7389
COL3A1|1_BMP5|1	COL3A1|1	BMP5|1	8.968	1.8825	-3.8201
COL4_BMP5|1	COL4	BMP5|1	9.23	2.2954	-3.3545
COL5A1_BMP5|1	COL5A1	BMP5|1	9.12	2.0713	-3.9959
DCN|A_BMP5|1	DCN|A	BMP5|1	8.929	1.9128	-3.6187
DSG2_BMP5|1	DSG2	BMP5|1	9.029	2.1733	-3.0675
ECM1|1_BMP5|1	ECM1|1	BMP5|1	9.063	2.0236	-3.8938
ELN|3_BMP5|1	ELN|3	BMP5|1	7.311	1.7066	-1.5736
FBN1_BMP5|1	FBN1	BMP5|1	9.246	2.1082	-3.9227
FN1|1_BMP5|1	FN1|1	BMP5|1	9.153	2.1036	-3.6803
GAP43|1_BMP5|1	GAP43|1	BMP5|1	8.984	2.2577	-3.8876
HA<500kDa_BMP5|1	HA<500kDa	BMP5|1	9.014	1.9979	-3.876
HA>500kDa_BMP5|1	HA>500kDa	BMP5|1	8.905	2.081	-3.6856
ICAM1_BMP5|1	ICAM1	BMP5|1	8.867	1.834	-3.9003
ITGA10B1_BMP5|1	ITGA10B1	BMP5|1	9.042	2.2242	-3.5468
ITGA2B1_BMP5|1	ITGA2B1	BMP5|1	8.821	1.8462	-3.7485
ITGA3B1_BMP5|1	ITGA3B1	BMP5|1	9.034	2.1419	-3.7477
ITGA4B1_BMP5|1	ITGA4B1	BMP5|1	8.983	2.0892	-3.7003
ITGA6B4_BMP5|1	ITGA6B4	BMP5|1	8.84	2.2009	-3.6718
ITGA9B1_BMP5|1	ITGA9B1	BMP5|1	8.955	2.078	-3.3008
ITGAMB2_BMP5|1	ITGAMB2	BMP5|1	9.054	2.0211	-3.862
ITGAVB6_BMP5|1	ITGAVB6	BMP5|1	8.875	2.0348	-3.6851
LAMB1_BMP5|1	LAMB1	BMP5|1	8.955	2.0704	-3.6894
LUM_BMP5|1	LUM	BMP5|1	9.126	2.3141	-3.8342
Laminin3B32_BMP5|1	Laminin3B32	BMP5|1	8.941	2.2843	-3.7701
NID1|1_BMP5|1	NID1|1	BMP5|1	8.247	1.9039	-1.4059
OMD_BMP5|1	OMD	BMP5|1	9.048	2.3737	-3.9487
PECAM1|Long_BMP5|1	PECAM1|Long	BMP5|1	8.964	2.0903	-3.476
POSTN|1_BMP5|1	POSTN|1	BMP5|1	8.923	1.9141	-3.6741
SPARC_BMP5|1	SPARC	BMP5|1	8.995	2.1828	-4.172
SPP1|A_BMP5|1	SPP1|A	BMP5|1	8.82	1.8974	-3.5449
THBS1|1_BMP5|1	THBS1|1	BMP5|1	8.983	2.2523	-3.63
TNC|1_BMP5|1	TNC|1	BMP5|1	8.996	2.2444	-3.8881
VCAM1|1_BMP5|1	VCAM1|1	BMP5|1	8.774	2.2454	-3.951
VTN_BMP5|1	VTN	BMP5|1	8.962	1.9405	-3.6175
ALCAM|1_BMP6	ALCAM|1	BMP6	9.099	1.724	-4.3354
BCAN|1_BMP6	BCAN|1	BMP6	8.781	1.506	-4.1724
BGN_BMP6	BGN	BMP6	9.079	1.3374	-4.1897
CD44|1_BMP6	CD44|1	BMP6	9.168	1.5998	-4.2926
CDH15_BMP6	CDH15	BMP6	9.026	1.8289	-4.0801
CDH1|1_BMP6	CDH1|1	BMP6	9.21	1.8569	-4.303
CDH20_BMP6	CDH20	BMP6	8.811	1.284	-4.1056
CDH3|1_BMP6	CDH3|1	BMP6	9.234	1.4729	-4.4397
