MEP	ECMp	Ligand	Spot Cell Count	2N DNA Proportion	EdU+ Proportion
ALCAM|1_ANGPT1|1	ALCAM|1	ANGPT1|1	8.42	1.318	-2.5052
BCAN|1_ANGPT1|1	BCAN|1	ANGPT1|1	8.479	1.1719	-2.3484
BGN_ANGPT1|1	BGN	ANGPT1|1	8.632	1.3553	-2.6403
CD44|1_ANGPT1|1	CD44|1	ANGPT1|1	8.284	1.331	-2.3509
CDH15_ANGPT1|1	CDH15	ANGPT1|1	8.383	1.3398	-2.4978
CDH1|1_ANGPT1|1	CDH1|1	ANGPT1|1	8.463	1.1605	-2.329
CDH20_ANGPT1|1	CDH20	ANGPT1|1	8.434	1.1722	-2.3136
CDH3|1_ANGPT1|1	CDH3|1	ANGPT1|1	8.315	1.1374	-2.4143
CDH6|1_ANGPT1|1	CDH6|1	ANGPT1|1	8.513	1.2859	-2.5437
CDH8_ANGPT1|1	CDH8	ANGPT1|1	8.603	1.4476	-2.4178
CEACAM6_ANGPT1|1	CEACAM6	ANGPT1|1	8.424	1.2447	-2.4816
COL1_ANGPT1|1	COL1	ANGPT1|1	8.48	1.1427	-2.3651
COL23A1|1_ANGPT1|1	COL23A1|1	ANGPT1|1	8.428	1.2441	-2.5053
COL2A1|2_ANGPT1|1	COL2A1|2	ANGPT1|1	8.389	1.4813	-2.4702
COL3A1|1_ANGPT1|1	COL3A1|1	ANGPT1|1	8.395	1.2534	-2.3646
COL4_ANGPT1|1	COL4	ANGPT1|1	8.633	1.3339	-2.378
COL5A1_ANGPT1|1	COL5A1	ANGPT1|1	8.573	1.2404	-2.2712
DCN|A_ANGPT1|1	DCN|A	ANGPT1|1	8.443	1.2269	-2.3279
DSG2_ANGPT1|1	DSG2	ANGPT1|1	8.564	1.431	-2.3367
ECM1|1_ANGPT1|1	ECM1|1	ANGPT1|1	8.435	1.2439	-2.4912
ELN|3_ANGPT1|1	ELN|3	ANGPT1|1	8.128	1.1408	-2.0635
FBN1_ANGPT1|1	FBN1	ANGPT1|1	8.575	1.3883	-2.5379
FN1|1_ANGPT1|1	FN1|1	ANGPT1|1	8.552	1.4715	-2.4284
GAP43|1_ANGPT1|1	GAP43|1	ANGPT1|1	8.427	1.1877	-2.4161
HA<500kDa_ANGPT1|1	HA<500kDa	ANGPT1|1	8.375	1.3878	-2.464
HA>500kDa_ANGPT1|1	HA>500kDa	ANGPT1|1	8.324	1.1619	-2.4261
ICAM1_ANGPT1|1	ICAM1	ANGPT1|1	8.318	1.2907	-2.3511
ITGA10B1_ANGPT1|1	ITGA10B1	ANGPT1|1	8.172	1.4672	-2.2864
ITGA2B1_ANGPT1|1	ITGA2B1	ANGPT1|1	8.359	1.4761	-2.4948
ITGA3B1_ANGPT1|1	ITGA3B1	ANGPT1|1	8.44	1.1376	-2.2256
ITGA4B1_ANGPT1|1	ITGA4B1	ANGPT1|1	8.454	1.2551	-2.4057
ITGA6B4_ANGPT1|1	ITGA6B4	ANGPT1|1	8.189	1.345	-2.4124
ITGA9B1_ANGPT1|1	ITGA9B1	ANGPT1|1	8.469	1.2467	-2.4105
ITGAMB2_ANGPT1|1	ITGAMB2	ANGPT1|1	8.394	1.317	-2.3565
ITGAVB6_ANGPT1|1	ITGAVB6	ANGPT1|1	8.427	1.387	-2.4488
LAMB1_ANGPT1|1	LAMB1	ANGPT1|1	8.314	1.12	-2.2453
LUM_ANGPT1|1	LUM	ANGPT1|1	8.581	1.2396	-2.5354
Laminin3B32_ANGPT1|1	Laminin3B32	ANGPT1|1	8.393	1.3144	-2.2971
NID1|1_ANGPT1|1	NID1|1	ANGPT1|1	7.015	1.7684	-2.1477
OMD_ANGPT1|1	OMD	ANGPT1|1	8.399	1.3291	-2.3437
PECAM1|Long_ANGPT1|1	PECAM1|Long	ANGPT1|1	8.204	1.3026	-2.1701
POSTN|1_ANGPT1|1	POSTN|1	ANGPT1|1	8.402	1.4531	-2.5515
SPARC_ANGPT1|1	SPARC	ANGPT1|1	8.351	1.3486	-2.213
SPP1|A_ANGPT1|1	SPP1|A	ANGPT1|1	8.36	1.2018	-2.5064
THBS1|1_ANGPT1|1	THBS1|1	ANGPT1|1	8.452	1.6623	-2.7283
TNC|1_ANGPT1|1	TNC|1	ANGPT1|1	8.297	1.4749	-2.5097
VCAM1|1_ANGPT1|1	VCAM1|1	ANGPT1|1	8.24	1.0665	-2.2789
VTN_ANGPT1|1	VTN	ANGPT1|1	8.39	1.2083	-2.4385
ALCAM|1_ANGPT2|1	ALCAM|1	ANGPT2|1	8.895	1.4268	-2.5118
BCAN|1_ANGPT2|1	BCAN|1	ANGPT2|1	8.745	1.4012	-2.625
BGN_ANGPT2|1	BGN	ANGPT2|1	8.778	1.5179	-2.6038
CD44|1_ANGPT2|1	CD44|1	ANGPT2|1	8.787	1.5549	-2.6638
CDH15_ANGPT2|1	CDH15	ANGPT2|1	8.836	1.6486	-2.7586
CDH1|1_ANGPT2|1	CDH1|1	ANGPT2|1	8.91	1.3607	-2.6067
CDH20_ANGPT2|1	CDH20	ANGPT2|1	8.744	1.3431	-2.3861
CDH3|1_ANGPT2|1	CDH3|1	ANGPT2|1	8.734	1.5742	-2.6417
CDH6|1_ANGPT2|1	CDH6|1	ANGPT2|1	8.679	1.5779	-2.4474
CDH8_ANGPT2|1	CDH8	ANGPT2|1	8.664	1.322	-2.5131
CEACAM6_ANGPT2|1	CEACAM6	ANGPT2|1	8.756	1.3768	-2.5025
COL1_ANGPT2|1	COL1	ANGPT2|1	8.811	1.4747	-2.5318
COL23A1|1_ANGPT2|1	COL23A1|1	ANGPT2|1	8.872	1.4242	-2.7018
COL2A1|2_ANGPT2|1	COL2A1|2	ANGPT2|1	8.888	1.3462	-2.4127
COL3A1|1_ANGPT2|1	COL3A1|1	ANGPT2|1	8.832	1.4098	-2.4143
COL4_ANGPT2|1	COL4	ANGPT2|1	8.887	1.5896	-2.6657
COL5A1_ANGPT2|1	COL5A1	ANGPT2|1	8.893	1.4856	-2.7832
DCN|A_ANGPT2|1	DCN|A	ANGPT2|1	8.848	1.4526	-2.5496
DSG2_ANGPT2|1	DSG2	ANGPT2|1	8.984	1.7294	-2.7988
ECM1|1_ANGPT2|1	ECM1|1	ANGPT2|1	8.752	1.4632	-2.451
ELN|3_ANGPT2|1	ELN|3	ANGPT2|1	7.493	1.6166	-2.1654
FBN1_ANGPT2|1	FBN1	ANGPT2|1	8.996	1.7184	-2.6039
FN1|1_ANGPT2|1	FN1|1	ANGPT2|1	8.834	1.561	-2.7335
GAP43|1_ANGPT2|1	GAP43|1	ANGPT2|1	8.897	1.7292	-2.5889
HA<500kDa_ANGPT2|1	HA<500kDa	ANGPT2|1	8.692	1.2291	-2.3369
HA>500kDa_ANGPT2|1	HA>500kDa	ANGPT2|1	8.745	1.3724	-2.7836
ICAM1_ANGPT2|1	ICAM1	ANGPT2|1	8.71	1.5103	-2.5581
ITGA10B1_ANGPT2|1	ITGA10B1	ANGPT2|1	8.686	1.5455	-2.6036
ITGA2B1_ANGPT2|1	ITGA2B1	ANGPT2|1	8.768	1.5032	-2.4591
ITGA3B1_ANGPT2|1	ITGA3B1	ANGPT2|1	8.668	1.3515	-2.4898
ITGA4B1_ANGPT2|1	ITGA4B1	ANGPT2|1	8.743	1.6019	-2.6062
ITGA6B4_ANGPT2|1	ITGA6B4	ANGPT2|1	8.596	1.497	-2.6293
ITGA9B1_ANGPT2|1	ITGA9B1	ANGPT2|1	8.845	1.4276	-2.5282
ITGAMB2_ANGPT2|1	ITGAMB2	ANGPT2|1	8.671	1.4172	-2.536
ITGAVB6_ANGPT2|1	ITGAVB6	ANGPT2|1	8.732	1.5346	-2.6157
LAMB1_ANGPT2|1	LAMB1	ANGPT2|1	8.727	1.5374	-2.782
LUM_ANGPT2|1	LUM	ANGPT2|1	8.902	1.573	-2.9188
Laminin3B32_ANGPT2|1	Laminin3B32	ANGPT2|1	8.776	1.3581	-2.8253
NID1|1_ANGPT2|1	NID1|1	ANGPT2|1	7.976	1.7054	-1.6984
OMD_ANGPT2|1	OMD	ANGPT2|1	8.871	1.7323	-2.7255
PECAM1|Long_ANGPT2|1	PECAM1|Long	ANGPT2|1	8.891	1.5516	-2.6224
POSTN|1_ANGPT2|1	POSTN|1	ANGPT2|1	8.68	1.5878	-2.7261
SPARC_ANGPT2|1	SPARC	ANGPT2|1	8.824	1.4482	-2.6806
SPP1|A_ANGPT2|1	SPP1|A	ANGPT2|1	8.682	1.4928	-2.5522
THBS1|1_ANGPT2|1	THBS1|1	ANGPT2|1	8.857	1.8841	-2.8643
TNC|1_ANGPT2|1	TNC|1	ANGPT2|1	8.868	1.638	-2.5398
VCAM1|1_ANGPT2|1	VCAM1|1	ANGPT2|1	8.747	1.6713	-2.7278
VTN_ANGPT2|1	VTN	ANGPT2|1	8.705	1.4384	-2.612
ALCAM|1_AREG	ALCAM|1	AREG	8.465	1.5033	-2.4602
BCAN|1_AREG	BCAN|1	AREG	8.633	1.4089	-2.3177
BGN_AREG	BGN	AREG	8.649	1.5411	-2.306
CD44|1_AREG	CD44|1	AREG	8.669	1.3485	-2.4873
CDH15_AREG	CDH15	AREG	8.515	1.4603	-2.2336
CDH1|1_AREG	CDH1|1	AREG	8.517	1.553	-2.3276
CDH20_AREG	CDH20	AREG	8.579	1.4473	-2.335
CDH3|1_AREG	CDH3|1	AREG	8.596	1.4711	-2.4037
CDH6|1_AREG	CDH6|1	AREG	8.629	1.543	-1.9897
CDH8_AREG	CDH8	AREG	8.656	1.3355	-2.1422
CEACAM6_AREG	CEACAM6	AREG	8.661	1.4917	-2.3343
COL1_AREG	COL1	AREG	8.703	1.5553	-2.4444
COL23A1|1_AREG	COL23A1|1	AREG	8.689	1.365	-2.1502
COL2A1|2_AREG	COL2A1|2	AREG	8.786	1.3657	-2.2776
COL3A1|1_AREG	COL3A1|1	AREG	8.748	1.3605	-2.1591
COL4_AREG	COL4	AREG	8.707	1.7775	-2.5097
COL5A1_AREG	COL5A1	AREG	8.749	1.3522	-2.2571
DCN|A_AREG	DCN|A	AREG	8.638	1.6419	-2.3156
DSG2_AREG	DSG2	AREG	8.623	1.6446	-2.2155
ECM1|1_AREG	ECM1|1	AREG	8.674	1.4537	-2.352
ELN|3_AREG	ELN|3	AREG	8.37	1.6303	-2.2199
FBN1_AREG	FBN1	AREG	8.794	1.732	-2.5482
FN1|1_AREG	FN1|1	AREG	8.668	1.7052	-2.3105
GAP43|1_AREG	GAP43|1	AREG	8.69	1.5152	-2.1423
HA<500kDa_AREG	HA<500kDa	AREG	8.553	1.794	-2.5974
HA>500kDa_AREG	HA>500kDa	AREG	8.646	1.4175	-2.2642
ICAM1_AREG	ICAM1	AREG	8.624	1.519	-2.3623
ITGA10B1_AREG	ITGA10B1	AREG	8.648	1.7268	-2.4717
ITGA2B1_AREG	ITGA2B1	AREG	8.46	1.4067	-2.058
ITGA3B1_AREG	ITGA3B1	AREG	8.517	1.4616	-2.2754
ITGA4B1_AREG	ITGA4B1	AREG	8.677	1.5772	-2.413
ITGA6B4_AREG	ITGA6B4	AREG	8.566	1.4112	-2.4787
ITGA9B1_AREG	ITGA9B1	AREG	8.61	1.5324	-2.1315
ITGAMB2_AREG	ITGAMB2	AREG	8.581	1.4361	-2.3173
ITGAVB6_AREG	ITGAVB6	AREG	8.576	1.6819	-2.6089
LAMB1_AREG	LAMB1	AREG	8.551	1.7913	-2.4165
LUM_AREG	LUM	AREG	8.909	1.5999	-2.487
Laminin3B32_AREG	Laminin3B32	AREG	8.474	1.5426	-2.2998
NID1|1_AREG	NID1|1	AREG	7.948	1.5519	-1.6794
OMD_AREG	OMD	AREG	8.612	1.6901	-2.4298
PECAM1|Long_AREG	PECAM1|Long	AREG	8.533	1.756	-2.3447
POSTN|1_AREG	POSTN|1	AREG	8.521	1.6845	-2.3549
SPARC_AREG	SPARC	AREG	8.437	1.4094	-2.3425
SPP1|A_AREG	SPP1|A	AREG	8.525	1.6159	-2.4267
THBS1|1_AREG	THBS1|1	AREG	8.601	2.0832	-2.5949
TNC|1_AREG	TNC|1	AREG	8.679	1.8173	-2.5019
VCAM1|1_AREG	VCAM1|1	AREG	8.546	1.4854	-2.1444
VTN_AREG	VTN	AREG	8.438	1.5766	-2.2748
ALCAM|1_BMP2	ALCAM|1	BMP2	8.836	2.2856	-5.39
BCAN|1_BMP2	BCAN|1	BMP2	8.83	1.9755	-4.6867
BGN_BMP2	BGN	BMP2	8.772	2.0387	-4.6797
CD44|1_BMP2	CD44|1	BMP2	8.71	2.1842	-4.6276
CDH15_BMP2	CDH15	BMP2	8.909	2.3629	-4.8967
CDH1|1_BMP2	CDH1|1	BMP2	8.858	2.2648	-4.7296
CDH20_BMP2	CDH20	BMP2	8.859	2.356	-4.9658
CDH3|1_BMP2	CDH3|1	BMP2	8.811	2.1969	-4.9151
CDH6|1_BMP2	CDH6|1	BMP2	8.779	2.1536	-4.7162
CDH8_BMP2	CDH8	BMP2	8.874	2.2634	-4.9761
CEACAM6_BMP2	CEACAM6	BMP2	8.807	2.3069	-4.2503
COL1_BMP2	COL1	BMP2	8.778	1.9833	-5.1932
COL23A1|1_BMP2	COL23A1|1	BMP2	8.719	1.959	-5.0824
COL2A1|2_BMP2	COL2A1|2	BMP2	8.817	1.9455	-4.5228
COL3A1|1_BMP2	COL3A1|1	BMP2	8.891	2.1309	-4.6992
COL4_BMP2	COL4	BMP2	9.031	2.3534	-5.124
COL5A1_BMP2	COL5A1	BMP2	8.828	1.9122	-5.4812
DCN|A_BMP2	DCN|A	BMP2	8.902	2.3089	-4.8936
DSG2_BMP2	DSG2	BMP2	8.798	2.4793	-4.8723
ECM1|1_BMP2	ECM1|1	BMP2	8.844	2.2045	-4.5296
ELN|3_BMP2	ELN|3	BMP2	7.842	1.9962	-2.4991
FBN1_BMP2	FBN1	BMP2	8.943	2.1472	-4.9507
FN1|1_BMP2	FN1|1	BMP2	8.906	2.4058	-3.9888
GAP43|1_BMP2	GAP43|1	BMP2	8.766	2.3314	-5.0413
HA<500kDa_BMP2	HA<500kDa	BMP2	8.747	2.4634	-4.0718
HA>500kDa_BMP2	HA>500kDa	BMP2	8.707	2.2191	-4.9656
ICAM1_BMP2	ICAM1	BMP2	8.807	2.4727	-4.7586
ITGA10B1_BMP2	ITGA10B1	BMP2	8.835	2.3699	-4.2973
ITGA2B1_BMP2	ITGA2B1	BMP2	8.859	2.3701	-4.7257
ITGA3B1_BMP2	ITGA3B1	BMP2	8.824	1.9351	-5.0692
ITGA4B1_BMP2	ITGA4B1	BMP2	8.856	2.2546	-4.9962
ITGA6B4_BMP2	ITGA6B4	BMP2	8.865	2.4981	-4.5827
ITGA9B1_BMP2	ITGA9B1	BMP2	8.735	2.2217	-4.5185
ITGAMB2_BMP2	ITGAMB2	BMP2	8.918	2.1552	-4.9056
ITGAVB6_BMP2	ITGAVB6	BMP2	8.719	2.1467	-4.9635
LAMB1_BMP2	LAMB1	BMP2	8.915	2.168	-4.9188
LUM_BMP2	LUM	BMP2	9.007	2.3609	-5.1903
Laminin3B32_BMP2	Laminin3B32	BMP2	8.754	2.3204	-4.5247
NID1|1_BMP2	NID1|1	BMP2	7.431	1.1924	-1.6418
OMD_BMP2	OMD	BMP2	8.95	2.5081	-4.6641
PECAM1|Long_BMP2	PECAM1|Long	BMP2	8.825	2.1956	-4.1743
POSTN|1_BMP2	POSTN|1	BMP2	8.839	2.0828	-5.1003
SPARC_BMP2	SPARC	BMP2	8.828	2.0789	-4.822
SPP1|A_BMP2	SPP1|A	BMP2	8.877	2.19	-4.4995
THBS1|1_BMP2	THBS1|1	BMP2	8.791	2.3424	-4.6473
TNC|1_BMP2	TNC|1	BMP2	8.955	2.6558	-4.8245
VCAM1|1_BMP2	VCAM1|1	BMP2	8.552	2.1179	-3.9725
VTN_BMP2	VTN	BMP2	8.822	2.1968	-4.8385
ALCAM|1_BMP3	ALCAM|1	BMP3	8.682	1.6146	-2.2877
BCAN|1_BMP3	BCAN|1	BMP3	8.602	1.4147	-2.4157
BGN_BMP3	BGN	BMP3	8.692	1.2919	-2.3512
CD44|1_BMP3	CD44|1	BMP3	8.455	1.3849	-2.3247
CDH15_BMP3	CDH15	BMP3	8.721	1.5195	-2.4397
CDH1|1_BMP3	CDH1|1	BMP3	8.532	1.3654	-2.3209
CDH20_BMP3	CDH20	BMP3	8.71	1.4505	-2.3349
CDH3|1_BMP3	CDH3|1	BMP3	8.649	1.4673	-2.3601
CDH6|1_BMP3	CDH6|1	BMP3	8.662	1.3438	-2.2894
CDH8_BMP3	CDH8	BMP3	8.693	1.278	-2.4256
CEACAM6_BMP3	CEACAM6	BMP3	8.411	1.3777	-2.3047
COL1_BMP3	COL1	BMP3	8.693	1.2086	-2.4166
COL23A1|1_BMP3	COL23A1|1	BMP3	8.648	1.2438	-2.2894
COL2A1|2_BMP3	COL2A1|2	BMP3	8.498	1.3197	-2.5287
COL3A1|1_BMP3	COL3A1|1	BMP3	8.88	1.4622	-2.3307
COL4_BMP3	COL4	BMP3	8.887	1.6683	-2.3909
COL5A1_BMP3	COL5A1	BMP3	8.685	1.2342	-2.2626
DCN|A_BMP3	DCN|A	BMP3	8.515	1.4388	-2.2221
DSG2_BMP3	DSG2	BMP3	8.564	1.3358	-2.4078
ECM1|1_BMP3	ECM1|1	BMP3	8.658	1.2898	-2.4819
ELN|3_BMP3	ELN|3	BMP3	8.368	1.7588	-2.4069
FBN1_BMP3	FBN1	BMP3	8.663	1.3958	-2.5361
FN1|1_BMP3	FN1|1	BMP3	8.733	1.5424	-2.5464
GAP43|1_BMP3	GAP43|1	BMP3	8.638	1.3328	-2.386
HA<500kDa_BMP3	HA<500kDa	BMP3	8.687	1.4883	-2.5742
HA>500kDa_BMP3	HA>500kDa	BMP3	8.513	1.6527	-2.5001
ICAM1_BMP3	ICAM1	BMP3	8.49	1.339	-2.4552
ITGA10B1_BMP3	ITGA10B1	BMP3	8.649	1.6148	-2.4918
ITGA2B1_BMP3	ITGA2B1	BMP3	8.591	1.5703	-2.3597
ITGA3B1_BMP3	ITGA3B1	BMP3	8.623	1.3466	-2.477
