MEP	ECMp	Ligand	Spot Cell Count	2N DNA Proportion	Lineage Ratio
LUM_ANGPT1|1	LUM	ANGPT1|1	6.3325	1.30665	-3.873041
Laminin3B32_ANGPT1|1	Laminin3B32	ANGPT1|1	6.448	1.63746	-3.724454
NID1|1_ANGPT1|1	NID1|1	ANGPT1|1	4.0896	1.78053	-2.911084
OMD_ANGPT1|1	OMD	ANGPT1|1	6.3708	1.59031	-3.808491
PECAM1|Long_ANGPT1|1	PECAM1|Long	ANGPT1|1	6.15	1.61595	-3.725662
POSTN|1_ANGPT1|1	POSTN|1	ANGPT1|1	5.6133	1.27421	-3.512729
SPARC_ANGPT1|1	SPARC	ANGPT1|1	6.1967	1.14499	-3.971997
SPP1|A_ANGPT1|1	SPP1|A	ANGPT1|1	6.104	1.78423	-3.669331
THBS1|1_ANGPT1|1	THBS1|1	ANGPT1|1	6.2498	1.98842	-3.948818
TNC|1_ANGPT1|1	TNC|1	ANGPT1|1	6.083	1.63539	-3.900627
VCAM1|1_ANGPT1|1	VCAM1|1	ANGPT1|1	6.3333	1.21014	-3.751281
VTN_ANGPT1|1	VTN	ANGPT1|1	6.0013	1.87897	-3.775791
ALCAM|1_ANGPT2|1	ALCAM|1	ANGPT2|1	5.8487	1.42558	-3.501092
BCAN|1_ANGPT2|1	BCAN|1	ANGPT2|1	6.3871	1.80504	-3.822511
BGN_ANGPT2|1	BGN	ANGPT2|1	5.8764	1.18072	-3.751079
CD44|1_ANGPT2|1	CD44|1	ANGPT2|1	6.1466	1.74157	-3.656662
CDH15_ANGPT2|1	CDH15	ANGPT2|1	5.5823	1.8356	-3.303718
CDH1|1_ANGPT2|1	CDH1|1	ANGPT2|1	6.3477	2.02938	-3.782302
CDH20_ANGPT2|1	CDH20	ANGPT2|1	6.4253	1.63513	-3.724482
CDH3|1_ANGPT2|1	CDH3|1	ANGPT2|1	5.8203	1.579	-3.323779
CDH6|1_ANGPT2|1	CDH6|1	ANGPT2|1	6.5116	1.60267	-3.798218
CDH8_ANGPT2|1	CDH8	ANGPT2|1	5.7945	1.43226	-3.302314
CEACAM6_ANGPT2|1	CEACAM6	ANGPT2|1	6.0605	1.45355	-3.538767
COL1_ANGPT2|1	COL1	ANGPT2|1	6.2237	1.51412	-3.607537
COL23A1|1_ANGPT2|1	COL23A1|1	ANGPT2|1	6.216	1.60625	-3.670893
COL2A1|2_ANGPT2|1	COL2A1|2	ANGPT2|1	6.4771	1.43857	-3.666174
COL3A1|1_ANGPT2|1	COL3A1|1	ANGPT2|1	6.2897	1.51844	-3.814465
COL4_ANGPT2|1	COL4	ANGPT2|1	6.1769	1.71212	-3.695615
COL5A1_ANGPT2|1	COL5A1	ANGPT2|1	6.5676	1.81974	-3.775517
DCN|A_ANGPT2|1	DCN|A	ANGPT2|1	5.8736	1.53561	-3.424025
DSG2_ANGPT2|1	DSG2	ANGPT2|1	5.8443	1.57839	-3.424444
ECM1|1_ANGPT2|1	ECM1|1	ANGPT2|1	6.5489	1.62198	-3.75602
ELN|3_ANGPT2|1	ELN|3	ANGPT2|1	6.3344	1.23838	-3.665733
FBN1_ANGPT2|1	FBN1	ANGPT2|1	6.6669	1.64911	-3.827467
FN1|1_ANGPT2|1	FN1|1	ANGPT2|1	5.971	1.58103	-3.506186
GAP43|1_ANGPT2|1	GAP43|1	ANGPT2|1	6.1957	1.7707	-3.640755
HA<500kDa_ANGPT2|1	HA<500kDa	ANGPT2|1	6.1352	1.55056	-3.511036
HA>500kDa_ANGPT2|1	HA>500kDa	ANGPT2|1	5.705	1.36734	-3.387173
ICAM1_ANGPT2|1	ICAM1	ANGPT2|1	5.5778	1.36909	-3.238404
ITGA10B1_ANGPT2|1	ITGA10B1	ANGPT2|1	6.0653	1.5158	-3.863675
ITGA2B1_ANGPT2|1	ITGA2B1	ANGPT2|1	5.9236	1.81389	-3.617426
ITGA3B1_ANGPT2|1	ITGA3B1	ANGPT2|1	6.3908	1.69849	-3.83383
ITGA4B1_ANGPT2|1	ITGA4B1	ANGPT2|1	6.0863	1.24578	-3.494978
ITGA6B4_ANGPT2|1	ITGA6B4	ANGPT2|1	6.5177	1.7039	-3.603389
ITGA9B1_ANGPT2|1	ITGA9B1	ANGPT2|1	6.1299	1.55993	-3.708151
ITGAMB2_ANGPT2|1	ITGAMB2	ANGPT2|1	5.9898	2.00179	-3.509951
ITGAVB6_ANGPT2|1	ITGAVB6	ANGPT2|1	5.7033	1.80963	-3.517324
LAMB1_ANGPT2|1	LAMB1	ANGPT2|1	5.7224	1.81736	-3.379387
LUM_ANGPT2|1	LUM	ANGPT2|1	6.4385	1.55345	-3.545726
Laminin3B32_ANGPT2|1	Laminin3B32	ANGPT2|1	4.9565	1.97006	-3.236608
NID1|1_ANGPT2|1	NID1|1	ANGPT2|1	3.7715	1.96852	-0.93511
OMD_ANGPT2|1	OMD	ANGPT2|1	6.2983	1.54417	-3.610395
PECAM1|Long_ANGPT2|1	PECAM1|Long	ANGPT2|1	6.1389	1.60335	-3.54042
POSTN|1_ANGPT2|1	POSTN|1	ANGPT2|1	6.2883	1.83056	-3.287066
SPARC_ANGPT2|1	SPARC	ANGPT2|1	6.1533	1.70708	-3.593711
SPP1|A_ANGPT2|1	SPP1|A	ANGPT2|1	6.127	1.91621	-3.450073
THBS1|1_ANGPT2|1	THBS1|1	ANGPT2|1	5.8591	2.02044	-3.492237
TNC|1_ANGPT2|1	TNC|1	ANGPT2|1	5.5182	1.75284	-2.981953
VCAM1|1_ANGPT2|1	VCAM1|1	ANGPT2|1	6.0365	1.38218	-3.619657
VTN_ANGPT2|1	VTN	ANGPT2|1	6.3491	1.90941	-3.785844
ALCAM|1_AREG	ALCAM|1	AREG	6.2719	1.94606	-3.619185
BCAN|1_AREG	BCAN|1	AREG	6.4083	1.73459	-3.613718
BGN_AREG	BGN	AREG	6.5528	1.66112	-3.869577
CD44|1_AREG	CD44|1	AREG	6.2174	2.17189	-3.418856
CDH15_AREG	CDH15	AREG	6.278	2.09913	-3.760845
CDH1|1_AREG	CDH1|1	AREG	6.196	1.82491	-3.493396
CDH20_AREG	CDH20	AREG	6.1881	1.98627	-3.638711
CDH3|1_AREG	CDH3|1	AREG	6.1818	1.89351	-3.592999
CDH6|1_AREG	CDH6|1	AREG	6.4216	1.63766	-3.709947
CDH8_AREG	CDH8	AREG	6.3998	2.12135	-3.464228
CEACAM6_AREG	CEACAM6	AREG	6.4341	1.69919	-3.794147
COL1_AREG	COL1	AREG	6.3952	1.98751	-3.648793
COL23A1|1_AREG	COL23A1|1	AREG	6.7701	1.76955	-4.115953
COL2A1|2_AREG	COL2A1|2	AREG	6.4814	1.67506	-3.786229
COL3A1|1_AREG	COL3A1|1	AREG	6.4316	1.71619	-3.69462
COL4_AREG	COL4	AREG	6.4444	1.92748	-3.648879
COL5A1_AREG	COL5A1	AREG	6.2831	1.88684	-3.808908
DCN|A_AREG	DCN|A	AREG	6.4591	1.81457	-3.575716
DSG2_AREG	DSG2	AREG	6.4859	1.51926	-3.723112
ECM1|1_AREG	ECM1|1	AREG	6.6956	1.85435	-3.893932
ELN|3_AREG	ELN|3	AREG	5.4759	1.71882	-3.761973
FBN1_AREG	FBN1	AREG	6.5118	1.68591	-3.711944
FN1|1_AREG	FN1|1	AREG	6.1115	1.70522	-3.512485
GAP43|1_AREG	GAP43|1	AREG	6.7287	2.09006	-3.784147
HA<500kDa_AREG	HA<500kDa	AREG	6.3568	1.87945	-3.770554
HA>500kDa_AREG	HA>500kDa	AREG	6.3708	1.99455	-3.824436
ICAM1_AREG	ICAM1	AREG	6.5565	1.60662	-3.726759
ITGA10B1_AREG	ITGA10B1	AREG	6.2271	1.61302	-3.666753
ITGA2B1_AREG	ITGA2B1	AREG	6.3039	1.59751	-3.51448
ITGA3B1_AREG	ITGA3B1	AREG	6.4487	1.94561	-3.690087
ITGA4B1_AREG	ITGA4B1	AREG	6.3563	1.51858	-3.669534
ITGA6B4_AREG	ITGA6B4	AREG	6.0042	1.67648	-3.613252
ITGA9B1_AREG	ITGA9B1	AREG	6.3441	1.4992	-3.723849
ITGAMB2_AREG	ITGAMB2	AREG	6.2815	2.26474	-3.348189
ITGAVB6_AREG	ITGAVB6	AREG	6.1139	1.99686	-3.510718
LAMB1_AREG	LAMB1	AREG	6.7289	1.97212	-3.719549
LUM_AREG	LUM	AREG	6.1082	1.85887	-3.532269
Laminin3B32_AREG	Laminin3B32	AREG	6.4655	1.61362	-3.851816
NID1|1_AREG	NID1|1	AREG	4.4801	1.19358	-3.081019
OMD_AREG	OMD	AREG	6.3646	1.72709	-3.493067
PECAM1|Long_AREG	PECAM1|Long	AREG	6.0718	1.80684	-3.517372
POSTN|1_AREG	POSTN|1	AREG	6.6965	1.49673	-3.868502
SPARC_AREG	SPARC	AREG	6.4945	2.01654	-3.682112
SPP1|A_AREG	SPP1|A	AREG	6.4064	1.65114	-3.75101
THBS1|1_AREG	THBS1|1	AREG	6.315	2.13826	-3.632772
TNC|1_AREG	TNC|1	AREG	6.0072	1.7218	-3.554713
VCAM1|1_AREG	VCAM1|1	AREG	6.343	1.70016	-3.541002
VTN_AREG	VTN	AREG	6.3341	1.94156	-3.660931
ALCAM|1_BMP2	ALCAM|1	BMP2	5.7535	1.66075	-4.099823
BCAN|1_BMP2	BCAN|1	BMP2	6.1563	1.91008	-4.090463
BGN_BMP2	BGN	BMP2	5.9843	2.02781	-4.00327
CD44|1_BMP2	CD44|1	BMP2	6.0236	1.96932	-4.002121
CDH15_BMP2	CDH15	BMP2	5.5819	1.93559	-3.924576
CDH1|1_BMP2	CDH1|1	BMP2	6.222	1.663	-4.033407
CDH20_BMP2	CDH20	BMP2	6.2762	1.80712	-4.064956
CDH3|1_BMP2	CDH3|1	BMP2	5.8612	1.72422	-4.027253
CDH6|1_BMP2	CDH6|1	BMP2	6.2753	1.71163	-4.169321
CDH8_BMP2	CDH8	BMP2	5.9633	2.02779	-3.989204
CEACAM6_BMP2	CEACAM6	BMP2	5.8988	1.91795	-4.08543
COL1_BMP2	COL1	BMP2	5.7933	2.50577	-4.090497
COL23A1|1_BMP2	COL23A1|1	BMP2	5.682	1.90645	-4.015635
COL2A1|2_BMP2	COL2A1|2	BMP2	6.1251	1.86676	-4.040105
COL3A1|1_BMP2	COL3A1|1	BMP2	5.9647	1.50317	-4.09807
COL4_BMP2	COL4	BMP2	5.911	1.8258	-3.993759
COL5A1_BMP2	COL5A1	BMP2	6.2021	2.16523	-4.303827
DCN|A_BMP2	DCN|A	BMP2	5.8324	1.96384	-3.960418
DSG2_BMP2	DSG2	BMP2	6.1474	2.038	-4.041354
ECM1|1_BMP2	ECM1|1	BMP2	6.1229	1.90064	-4.063703
ELN|3_BMP2	ELN|3	BMP2	4.6273	1.46723	-3.51784
FBN1_BMP2	FBN1	BMP2	6.0297	1.86365	-3.914606
FN1|1_BMP2	FN1|1	BMP2	5.8823	1.90965	-3.939199
GAP43|1_BMP2	GAP43|1	BMP2	5.8383	1.71696	-4.068561
HA<500kDa_BMP2	HA<500kDa	BMP2	5.9524	1.92194	-3.97528
HA>500kDa_BMP2	HA>500kDa	BMP2	6.1508	1.97174	-3.9356
ICAM1_BMP2	ICAM1	BMP2	6.0518	2.09276	-4.000234
ITGA10B1_BMP2	ITGA10B1	BMP2	5.8544	2.01868	-4.025037
ITGA2B1_BMP2	ITGA2B1	BMP2	5.8498	1.39916	-3.99508
ITGA3B1_BMP2	ITGA3B1	BMP2	6.2578	2.0157	-4.195458
ITGA4B1_BMP2	ITGA4B1	BMP2	5.98	1.8042	-4.053201
ITGA6B4_BMP2	ITGA6B4	BMP2	5.9403	1.79532	-4.058099
ITGA9B1_BMP2	ITGA9B1	BMP2	5.6441	1.52923	-3.885067
ITGAMB2_BMP2	ITGAMB2	BMP2	5.8971	2.26617	-4.137244
ITGAVB6_BMP2	ITGAVB6	BMP2	5.8262	1.68372	-3.847501
LAMB1_BMP2	LAMB1	BMP2	5.9898	1.86635	-3.868241
LUM_BMP2	LUM	BMP2	6.0297	1.8682	-4.096001
Laminin3B32_BMP2	Laminin3B32	BMP2	5.9359	1.68395	-3.976744
NID1|1_BMP2	NID1|1	BMP2	4.2996	1.17668	-3.525834
OMD_BMP2	OMD	BMP2	6.1452	2.04508	-4.220302
PECAM1|Long_BMP2	PECAM1|Long	BMP2	5.8414	1.91085	-4.017513
POSTN|1_BMP2	POSTN|1	BMP2	6.0193	1.75655	-4.084645
SPARC_BMP2	SPARC	BMP2	6.0676	1.95341	-3.978366
SPP1|A_BMP2	SPP1|A	BMP2	6.0687	1.99559	-4.23339
THBS1|1_BMP2	THBS1|1	BMP2	6.0243	1.96284	-4.052127
TNC|1_BMP2	TNC|1	BMP2	5.8059	1.71115	-3.63175
VCAM1|1_BMP2	VCAM1|1	BMP2	5.8088	1.49653	-3.703582
VTN_BMP2	VTN	BMP2	6.0142	1.71792	-4.026036
ALCAM|1_BMP3	ALCAM|1	BMP3	6.4253	1.56977	-3.684387
BCAN|1_BMP3	BCAN|1	BMP3	6.4661	1.55469	-3.856873
BGN_BMP3	BGN	BMP3	6.6412	1.67249	-3.818545
CD44|1_BMP3	CD44|1	BMP3	6.7511	1.45027	-3.852443
CDH15_BMP3	CDH15	BMP3	6.6405	1.31895	-3.883341
CDH1|1_BMP3	CDH1|1	BMP3	6.3599	1.82667	-3.832268
CDH20_BMP3	CDH20	BMP3	6.6757	1.36278	-3.939955
CDH3|1_BMP3	CDH3|1	BMP3	6.3197	1.53561	-3.464296
CDH6|1_BMP3	CDH6|1	BMP3	6.6072	1.79198	-3.875365
CDH8_BMP3	CDH8	BMP3	6.4413	1.68916	-3.774153
CEACAM6_BMP3	CEACAM6	BMP3	6.6891	1.27615	-3.985425
COL1_BMP3	COL1	BMP3	6.7625	1.53112	-4.001557
COL23A1|1_BMP3	COL23A1|1	BMP3	6.6819	1.45494	-3.834462
COL2A1|2_BMP3	COL2A1|2	BMP3	6.5706	1.85194	-3.877935
COL3A1|1_BMP3	COL3A1|1	BMP3	6.6452	2.0344	-3.852839
COL4_BMP3	COL4	BMP3	6.6966	1.91557	-3.86653
COL5A1_BMP3	COL5A1	BMP3	6.5354	1.53779	-3.830976
DCN|A_BMP3	DCN|A	BMP3	6.4813	1.4337	-3.898036
DSG2_BMP3	DSG2	BMP3	6.7198	1.69008	-3.613599
ECM1|1_BMP3	ECM1|1	BMP3	6.7359	1.58325	-3.993447
ELN|3_BMP3	ELN|3	BMP3	5.2946	1.26223	-3.316363
FBN1_BMP3	FBN1	BMP3	6.5028	1.57922	-3.683051
FN1|1_BMP3	FN1|1	BMP3	6.6153	1.59674	-3.911294
GAP43|1_BMP3	GAP43|1	BMP3	6.3156	1.38041	-3.732631
HA<500kDa_BMP3	HA<500kDa	BMP3	6.5573	1.37899	-3.7862
HA>500kDa_BMP3	HA>500kDa	BMP3	6.9756	1.92838	-4.15435
ICAM1_BMP3	ICAM1	BMP3	6.8864	1.59693	-3.95076
ITGA10B1_BMP3	ITGA10B1	BMP3	6.5518	1.3829	-3.848424
ITGA2B1_BMP3	ITGA2B1	BMP3	6.2663	1.32857	-3.629074
ITGA3B1_BMP3	ITGA3B1	BMP3	6.2878	1.70046	-3.627827
ITGA4B1_BMP3	ITGA4B1	BMP3	6.2133	1.46092	-3.67916
ITGA6B4_BMP3	ITGA6B4	BMP3	6.5206	1.62234	-3.762621
ITGA9B1_BMP3	ITGA9B1	BMP3	6.4201	1.59149	-3.677714
ITGAMB2_BMP3	ITGAMB2	BMP3	6.5075	1.44096	-3.846007
ITGAVB6_BMP3	ITGAVB6	BMP3	6.4227	1.93828	-3.949571
LAMB1_BMP3	LAMB1	BMP3	6.5038	1.19821	-3.776914
LUM_BMP3	LUM	BMP3	6.7709	1.77269	-3.818665
Laminin3B32_BMP3	Laminin3B32	BMP3	5.7947	1.6397	-3.527251
NID1|1_BMP3	NID1|1	BMP3	4.3632	1.47683	-3.409364
OMD_BMP3	OMD	BMP3	6.2691	1.49812	-3.630199
PECAM1|Long_BMP3	PECAM1|Long	BMP3	6.5717	1.77454	-3.690966
POSTN|1_BMP3	POSTN|1	BMP3	6.3281	1.72405	-3.797975
SPARC_BMP3	SPARC	BMP3	6.8375	1.74425	-3.989023
SPP1|A_BMP3	SPP1|A	BMP3	6.4848	1.47802	-3.972012
THBS1|1_BMP3	THBS1|1	BMP3	6.2875	1.91558	-3.569059
TNC|1_BMP3	TNC|1	BMP3	6.4455	1.83801	-3.892131
VCAM1|1_BMP3	VCAM1|1	BMP3	6.4494	1.8332	-3.775566
VTN_BMP3	VTN	BMP3	5.9373	1.42372	-3.694806
ALCAM|1_BMP4	ALCAM|1	BMP4	6.1339	1.61482	-3.499086
BCAN|1_BMP4	BCAN|1	BMP4	5.8598	1.81875	-3.507578
BGN_BMP4	BGN	BMP4	6.4023	1.72368	-3.913008
CD44|1_BMP4	CD44|1	BMP4	6.047	1.84839	-3.646029
CDH15_BMP4	CDH15	BMP4	6.0208	1.86455	-3.442055
CDH1|1_BMP4	CDH1|1	BMP4	5.7591	2.03397	-3.670789
CDH20_BMP4	CDH20	BMP4	6.3372	1.704	-3.742919
CDH3|1_BMP4	CDH3|1	BMP4	6.2966	1.80993	-3.721614
CDH6|1_BMP4	CDH6|1	BMP4	6.4156	1.72237	-3.727528
CDH8_BMP4	CDH8	BMP4	6.2561	1.75741	-3.49619
CEACAM6_BMP4	CEACAM6	BMP4	6.3029	1.88857	-3.67287
COL1_BMP4	COL1	BMP4	6.2306	1.42409	-3.706661
COL23A1|1_BMP4	COL23A1|1	BMP4	6.2648	1.78939	-4.002887
COL2A1|2_BMP4	COL2A1|2	BMP4	6.393	1.59005	-3.94018
COL3A1|1_BMP4	COL3A1|1	BMP4	6.0776	1.647	-3.716119
COL4_BMP4	COL4	BMP4	6.672	1.46638	-3.903572
COL5A1_BMP4	COL5A1	BMP4	6.5592	1.67534	-3.716117
DCN|A_BMP4	DCN|A	BMP4	6.1289	1.30428	-3.683707
DSG2_BMP4	DSG2	BMP4	6.2937	1.35793	-3.643403
ECM1|1_BMP4	ECM1|1	BMP4	6.3617	1.49668	-3.52818
ELN|3_BMP4	ELN|3	BMP4	5.0531	1.96113	-3.616515
FBN1_BMP4	FBN1	BMP4	6.3852	1.38592	-3.571828
FN1|1_BMP4	FN1|1	BMP4	5.6099	1.34072	-3.664318
GAP43|1_BMP4	GAP43|1	BMP4	6.6125	1.48523	-3.838653
HA<500kDa_BMP4	HA<500kDa	BMP4	6.3272	1.70766	-3.741317
HA>500kDa_BMP4	HA>500kDa	BMP4	5.9648	1.733	-3.653434
ICAM1_BMP4	ICAM1	BMP4	5.8234	1.40086	-3.42787
ITGA10B1_BMP4	ITGA10B1	BMP4	6.2538	1.88081	-3.661645
ITGA2B1_BMP4	ITGA2B1	BMP4	6.3382	1.69017	-3.612837
ITGA3B1_BMP4	ITGA3B1	BMP4	6.1081	1.78939	-3.779132
ITGA4B1_BMP4	ITGA4B1	BMP4	6.3589	1.72439	-3.818276
ITGA6B4_BMP4	ITGA6B4	BMP4	5.8023	1.38884	-3.357166
ITGA9B1_BMP4	ITGA9B1	BMP4	6.0157	1.55176	-3.723639
ITGAMB2_BMP4	ITGAMB2	BMP4	6.5517	1.70853	-3.670164
ITGAVB6_BMP4	ITGAVB6	BMP4	6.026	1.37033	-3.589977
LAMB1_BMP4	LAMB1	BMP4	6.0223	1.49692	-3.573722
LUM_BMP4	LUM	BMP4	6.3632	1.46288	-3.607453
Laminin3B32_BMP4	Laminin3B32	BMP4	6.1622	2.02925	-3.632664
NID1|1_BMP4	NID1|1	BMP4	4.4983	1.55788	-3.19426
OMD_BMP4	OMD	BMP4	6.1902	1.87927	-3.636707
PECAM1|Long_BMP4	PECAM1|Long	BMP4	5.8764	1.55347	-3.859433
POSTN|1_BMP4	POSTN|1	BMP4	6.0512	2.13916	-3.535903
SPARC_BMP4	SPARC	BMP4	5.8222	1.70945	-3.46789
SPP1|A_BMP4	SPP1|A	BMP4	6.0406	1.28074	-3.606282
THBS1|1_BMP4	THBS1|1	BMP4	6.1175	1.89747	-3.616298
TNC|1_BMP4	TNC|1	BMP4	6.1185	1.77653	-3.50659
VCAM1|1_BMP4	VCAM1|1	BMP4	6.4105	1.34039	-3.866642
VTN_BMP4	VTN	BMP4	5.9522	1.30416	-3.733745
ALCAM|1_BMP5|1	ALCAM|1	BMP5|1	5.6954	2.11474	-3.992716
BCAN|1_BMP5|1	BCAN|1	BMP5|1	5.4807	1.75548	-3.971598
BGN_BMP5|1	BGN	BMP5|1	5.6602	2.03595	-4.066129
CD44|1_BMP5|1	CD44|1	BMP5|1	5.4685	1.96521	-3.720896
CDH15_BMP5|1	CDH15	BMP5|1	5.1298	1.75202	-3.838571
CDH1|1_BMP5|1	CDH1|1	BMP5|1	5.5471	1.48121	-4.01006
CDH20_BMP5|1	CDH20	BMP5|1	5.5097	1.27308	-3.877223
CDH3|1_BMP5|1	CDH3|1	BMP5|1	5.4665	1.93768	-3.995288
CDH6|1_BMP5|1	CDH6|1	BMP5|1	5.1351	1.66272	-3.624573
CDH8_BMP5|1	CDH8	BMP5|1	5.486	1.46402	-3.987627
CEACAM6_BMP5|1	CEACAM6	BMP5|1	5.1492	2.10372	-4.116453
COL1_BMP5|1	COL1	BMP5|1	5.843	1.4498	-4.205842
COL23A1|1_BMP5|1	COL23A1|1	BMP5|1	5.7865	1.82854	-4.209521
COL2A1|2_BMP5|1	COL2A1|2	BMP5|1	5.9133	1.6655	-4.228768
COL3A1|1_BMP5|1	COL3A1|1	BMP5|1	5.0708	1.57228	-4.118041
COL4_BMP5|1	COL4	BMP5|1	5.4793	1.86805	-4.057074
COL5A1_BMP5|1	COL5A1	BMP5|1	5.6935	1.75976	-4.05347
DCN|A_BMP5|1	DCN|A	BMP5|1	5.576	1.78623	-3.92054
DSG2_BMP5|1	DSG2	BMP5|1	5.2944	1.45055	-3.835395
ECM1|1_BMP5|1	ECM1|1	BMP5|1	5.507	1.22366	-3.935785
ELN|3_BMP5|1	ELN|3	BMP5|1	3.1006	1.75883	-3.810492
FBN1_BMP5|1	FBN1	BMP5|1	5.5986	1.55489	-4.05956
FN1|1_BMP5|1	FN1|1	BMP5|1	5.1834	1.56954	-3.948279
GAP43|1_BMP5|1	GAP43|1	BMP5|1	5.7507	1.81935	-4.130328
HA<500kDa_BMP5|1	HA<500kDa	BMP5|1	5.6586	1.87875	-4.197938
HA>500kDa_BMP5|1	HA>500kDa	BMP5|1	5.5357	1.53798	-4.114257
ICAM1_BMP5|1	ICAM1	BMP5|1	5.4318	1.84037	-4.013566
ITGA10B1_BMP5|1	ITGA10B1	BMP5|1	5.3152	1.73159	-4.11912
ITGA2B1_BMP5|1	ITGA2B1	BMP5|1	5.5053	2.23066	-3.887568
ITGA3B1_BMP5|1	ITGA3B1	BMP5|1	5.4082	1.4919	-4.011382
ITGA4B1_BMP5|1	ITGA4B1	BMP5|1	5.2988	1.94754	-3.90963
ITGA6B4_BMP5|1	ITGA6B4	BMP5|1	5.4265	1.63256	-3.949364
ITGA9B1_BMP5|1	ITGA9B1	BMP5|1	5.1548	1.83676	-3.899633
ITGAMB2_BMP5|1	ITGAMB2	BMP5|1	5.627	2.03399	-4.022508
ITGAVB6_BMP5|1	ITGAVB6	BMP5|1	5.138	1.62376	-3.871113
LAMB1_BMP5|1	LAMB1	BMP5|1	5.3755	1.53753	-4.010097
LUM_BMP5|1	LUM	BMP5|1	5.5886	1.44289	-4.115058
Laminin3B32_BMP5|1	Laminin3B32	BMP5|1	5.5926	1.38777	-3.71174
NID1|1_BMP5|1	NID1|1	BMP5|1	3.2132	0.93516	-3.657458
OMD_BMP5|1	OMD	BMP5|1	5.4409	2.07813	-4.081794
PECAM1|Long_BMP5|1	PECAM1|Long	BMP5|1	5.0417	1.45117	-3.977466
POSTN|1_BMP5|1	POSTN|1	BMP5|1	5.4059	1.66443	-3.999213
SPARC_BMP5|1	SPARC	BMP5|1	5.9283	1.69852	-4.049371
SPP1|A_BMP5|1	SPP1|A	BMP5|1	4.9061	1.4804	-3.724328
THBS1|1_BMP5|1	THBS1|1	BMP5|1	6.0865	2.21608	-4.133921
TNC|1_BMP5|1	TNC|1	BMP5|1	5.6586	1.41914	-4.17376
