MEP	ECMp	Ligand	Spot Cell Count	2N DNA Proportion	Lineage Ratio
ALCAM|1_ANGPT1|1	ALCAM|1	ANGPT1|1	6.2823	1.72944	-3.800806
BCAN|1_ANGPT1|1	BCAN|1	ANGPT1|1	6.0873	1.36114	-3.838056
BGN_ANGPT1|1	BGN	ANGPT1|1	6.3961	1.50956	-3.8017
CD44|1_ANGPT1|1	CD44|1	ANGPT1|1	5.9814	1.69735	-3.685246
CDH15_ANGPT1|1	CDH15	ANGPT1|1	6.1428	1.39201	-3.810452
CDH1|1_ANGPT1|1	CDH1|1	ANGPT1|1	6.0735	1.6578	-3.516766
CDH20_ANGPT1|1	CDH20	ANGPT1|1	6.1201	1.35375	-3.832784
CDH3|1_ANGPT1|1	CDH3|1	ANGPT1|1	6.1237	1.66722	-3.759241
CDH6|1_ANGPT1|1	CDH6|1	ANGPT1|1	6.3842	1.36389	-3.981631
CDH8_ANGPT1|1	CDH8	ANGPT1|1	6.3444	2.01023	-3.870705
CEACAM6_ANGPT1|1	CEACAM6	ANGPT1|1	6.2586	1.37155	-3.753514
COL1_ANGPT1|1	COL1	ANGPT1|1	6.2722	1.58108	-3.881579
COL23A1|1_ANGPT1|1	COL23A1|1	ANGPT1|1	6.3093	1.44122	-4.045396
COL2A1|2_ANGPT1|1	COL2A1|2	ANGPT1|1	6.2329	1.44047	-3.675504
COL3A1|1_ANGPT1|1	COL3A1|1	ANGPT1|1	5.829	1.49467	-3.630782
COL4_ANGPT1|1	COL4	ANGPT1|1	6.1211	1.4849	-3.813525
COL5A1_ANGPT1|1	COL5A1	ANGPT1|1	6.414	1.24804	-4.008321
DCN|A_ANGPT1|1	DCN|A	ANGPT1|1	6.4926	1.27626	-3.930552
DSG2_ANGPT1|1	DSG2	ANGPT1|1	6.1119	1.795	-3.677166
ECM1|1_ANGPT1|1	ECM1|1	ANGPT1|1	6.3343	1.49501	-4.038351
ELN|3_ANGPT1|1	ELN|3	ANGPT1|1	3.8667	1.20623	-3.457189
FBN1_ANGPT1|1	FBN1	ANGPT1|1	6.407	1.40277	-3.880967
FN1|1_ANGPT1|1	FN1|1	ANGPT1|1	5.8856	1.44161	-3.574348
GAP43|1_ANGPT1|1	GAP43|1	ANGPT1|1	6.4363	1.21568	-3.928374
HA<500kDa_ANGPT1|1	HA<500kDa	ANGPT1|1	6.2453	1.60156	-3.926105
HA>500kDa_ANGPT1|1	HA>500kDa	ANGPT1|1	5.929	1.68539	-3.909803
ICAM1_ANGPT1|1	ICAM1	ANGPT1|1	6.1078	1.57995	-3.726165
ITGA10B1_ANGPT1|1	ITGA10B1	ANGPT1|1	6.1441	1.55345	-3.568949
ITGA2B1_ANGPT1|1	ITGA2B1	ANGPT1|1	6.1826	1.42715	-3.875924
ITGA3B1_ANGPT1|1	ITGA3B1	ANGPT1|1	6.1986	1.557	-3.864885
ITGA4B1_ANGPT1|1	ITGA4B1	ANGPT1|1	6.1529	1.49896	-3.854282
ITGA6B4_ANGPT1|1	ITGA6B4	ANGPT1|1	6.0122	1.8038	-3.744354
ITGA9B1_ANGPT1|1	ITGA9B1	ANGPT1|1	6.3457	1.73234	-3.881868
ITGAMB2_ANGPT1|1	ITGAMB2	ANGPT1|1	6.3544	1.83557	-3.901721
ITGAVB6_ANGPT1|1	ITGAVB6	ANGPT1|1	6.0249	1.34847	-4.06432
LAMB1_ANGPT1|1	LAMB1	ANGPT1|1	5.8348	1.40937	-3.673019
